850,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
670,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plus,正常开机进入桌面,充电正常,振动正常
920,OPPO R11 Plus,黑色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
760,OPPO R11 Plus,黑色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plus,正常开机进入桌面,充电正常,振动正常
890,OPPO R11 Plus,玫瑰金,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
740,OPPO R11 Plus,玫瑰金,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plus,正常开机进入桌面,充电正常,振动正常
700,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Pluskt,正常开机进入桌面,充电正常,振动正常
700,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plusk,正常开机进入桌面,充电正常,振动正常
860,OPPO R11 Plus,黑色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Pluskt,正常开机进入桌面,充电正常,振动正常
780,OPPO R11 Plus,黑色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plusk,正常开机进入桌面,充电正常,振动正常
640,OPPO R11 Plus,玫瑰金,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Pluskt,正常开机进入桌面,充电正常,振动正常
850,OPPO R11 Plus,玫瑰金,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plusk,正常开机进入桌面,充电正常,振动正常
850,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
750,OPPO R11 Plus,金色,经常使用，完好有轻微划痕,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
730,OPPO R11 Plus,金色,经常使用，外壳有磕碰掉漆,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
600,OPPO R11 Plus,金色,外壳有裂缝/缺失/变形/刻字,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
950,OPPO R11 Plus,金色,从未使用，全新包装未拆封,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
730,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,经常使用，完好有轻微划痕,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
520,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,屏幕有缺角/碎裂,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
730,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,经常使用，显示正常细微色差,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
410,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,经常使用，显示有轻微透字,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
270,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,显示异常，有局部花屏/老化,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
15,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,屏幕无法正常显示,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
390,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,有开机密码,充电正常,振动正常
2,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,无法开机/自动重启/工程模式,充电正常,振动正常
2,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号无法退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
270,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,屏幕维修（屏幕拆开或维修）,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
270,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,主板维修（主板拆修或故障）,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
20,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,屏幕和主板均有维修,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常
270,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常,触摸失灵/延迟
270,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常,机身进水或受潮
310,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常,机身弯曲
600,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常,更换过电池/摄像头/外壳/尾插
270,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常,通话功能不正常
270,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常,指纹无法完全录入和解锁
310,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常,拍摄模糊/抖动/有斑
270,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常,无线无法打开/无法连接
580,OPPO R11 Plus,金色,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无维修情况,账号可退出,R11 Plust,正常开机进入桌面,充电正常,振动正常,光线/距离感应不正常
