3790,雷神 911GT-Y6 系列,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,NVIDIA GeForce GTX 1060,机械硬盘500GB-1TB,固态硬盘240GB-288GB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
3790,雷神 911GT-Y6 系列,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,NVIDIA GeForce GTX 1060,机械硬盘500GB-1TB,固态硬盘240GB-288GB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
560,雷神 911GT-Y6 系列,蓝屏、死机、不能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,NVIDIA GeForce GTX 1060,机械硬盘500GB-1TB,固态硬盘240GB-288GB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
180,雷神 911GT-Y6 系列,无法开机,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,NVIDIA GeForce GTX 1060,机械硬盘500GB-1TB,固态硬盘240GB-288GB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
3490,雷神 911GT-Y6 系列,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无磕碰掉漆，有轻微划痕,Intel 酷睿 i7 7代,NVIDIA GeForce GTX 1060,机械硬盘500GB-1TB,固态硬盘240GB-288GB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
3410,雷神 911GT-Y6 系列,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,仅有1-2处磕碰掉漆,Intel 酷睿 i7 7代,NVIDIA GeForce GTX 1060,机械硬盘500GB-1TB,固态硬盘240GB-288GB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
2730,雷神 911GT-Y6 系列,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,有多处磕碰、掉漆,Intel 酷睿 i7 7代,NVIDIA GeForce GTX 1060,机械硬盘500GB-1TB,固态硬盘240GB-288GB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
3150,雷神 911GT-Y6 系列,开机后能进入操作系统桌面,经常使用，完好有细微划痕,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,NVIDIA GeForce GTX 1060,机械硬盘500GB-1TB,固态硬盘240GB-288GB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
2120,雷神 911GT-Y6 系列,开机后能进入操作系统桌面,屏幕有裂痕、缺角、碎裂,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,NVIDIA GeForce GTX 1060,机械硬盘500GB-1TB,固态硬盘240GB-288GB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
3150,雷神 911GT-Y6 系列,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,经常使用，显示正常轻微亮黑点,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,NVIDIA GeForce GTX 1060,机械硬盘500GB-1TB,固态硬盘240GB-288GB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
2120,雷神 911GT-Y6 系列,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,显示异常，有色斑、漏光、花屏,几乎全新，无任何瑕疵,Intel 酷睿 i7 7代,NVIDIA GeForce GTX 1060,机械硬盘500GB-1TB,固态硬盘240GB-288GB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
