2320,雷神 911-T1a,固态硬盘60GB-80GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel 酷睿 i7 4代,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
2720,雷神 911-T1a,固态硬盘120GB-192GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel 酷睿 i7 4代,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
2320,雷神 911-T1a,固态硬盘60GB-80GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel 酷睿 i7 4代,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
840,雷神 911-T1a,固态硬盘60GB-80GB,蓝屏、死机、不能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel 酷睿 i7 4代,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
520,雷神 911-T1a,固态硬盘60GB-80GB,无法开机,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel 酷睿 i7 4代,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
2160,雷神 911-T1a,固态硬盘60GB-80GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无磕碰掉漆，有轻微划痕,Intel 酷睿 i7 4代,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
2140,雷神 911-T1a,固态硬盘60GB-80GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,仅有1-2处磕碰掉漆,Intel 酷睿 i7 4代,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
1570,雷神 911-T1a,固态硬盘60GB-80GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,有多处磕碰、掉漆,Intel 酷睿 i7 4代,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
1940,雷神 911-T1a,固态硬盘60GB-80GB,开机后能进入操作系统桌面,经常使用，完好有细微划痕,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel 酷睿 i7 4代,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
1250,雷神 911-T1a,固态硬盘60GB-80GB,开机后能进入操作系统桌面,屏幕有裂痕、缺角、碎裂,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel 酷睿 i7 4代,NVIDIA GeForce GTX 970M,机械硬盘500GB-1TB,16GB-18GB,无硬件锁,显卡功能正常,不缺件
