6260,华为 Mate 20 RS保时捷版,黑色,8G+256G,大陆国行（有“进网许可”标签）,无维修情况,很少使用，显示完美几乎全新,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,账号可退出,正常开机进入桌面,充电正常,振动正常
6260,华为 Mate 20 RS保时捷版,红色,8G+256G,大陆国行（有“进网许可”标签）,无维修情况,很少使用，显示完美几乎全新,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,账号可退出,正常开机进入桌面,充电正常,振动正常
7290,华为 Mate 20 RS保时捷版,黑色,8G+512G,大陆国行（有“进网许可”标签）,无维修情况,很少使用，显示完美几乎全新,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,账号可退出,正常开机进入桌面,充电正常,振动正常
7520,华为 Mate 20 RS保时捷版,红色,8G+512G,大陆国行（有“进网许可”标签）,无维修情况,很少使用，显示完美几乎全新,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,账号可退出,正常开机进入桌面,充电正常,振动正常
3310,华为 Mate 20 RS保时捷版,黑色,8G+256G,非大陆国行,无维修情况,很少使用，显示完美几乎全新,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,账号可退出,正常开机进入桌面,充电正常,振动正常
3440,华为 Mate 20 RS保时捷版,红色,8G+256G,非大陆国行,无维修情况,很少使用，显示完美几乎全新,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,账号可退出,正常开机进入桌面,充电正常,振动正常
5310,华为 Mate 20 RS保时捷版,黑色,8G+512G,非大陆国行,无维修情况,很少使用，显示完美几乎全新,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,账号可退出,正常开机进入桌面,充电正常,振动正常
5310,华为 Mate 20 RS保时捷版,红色,8G+512G,非大陆国行,无维修情况,很少使用，显示完美几乎全新,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,账号可退出,正常开机进入桌面,充电正常,振动正常
6260,华为 Mate 20 RS保时捷版,黑色,8G+256G,大陆国行（有“进网许可”标签）,无维修情况,很少使用，显示完美几乎全新,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,账号可退出,正常开机进入桌面,充电正常,振动正常
2860,华为 Mate 20 RS保时捷版,黑色,8G+256G,大陆国行（有“进网许可”标签）,无维修情况,很少使用，显示完美几乎全新,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,账号可退出,有开机密码,充电正常,振动正常
2,华为 Mate 20 RS保时捷版,黑色,8G+256G,大陆国行（有“进网许可”标签）,无维修情况,很少使用，显示完美几乎全新,很少使用，完美无任何痕迹,很少使用，完美无任何痕迹,账号可退出,无法开机/自动重启/工程模式,充电正常,振动正常
