330,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常
430,谷歌 Pixel XL,4G+128G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常
330,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常
180,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,有开机密码,充电正常,账号可退出,振动正常
2,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,无法开机/自动重启/工程模式,充电正常,账号可退出,振动正常
310,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，外壳有磕碰掉漆,正常开机进入桌面,充电正常,账号可退出,振动正常
220,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,屏幕有缺角/碎裂,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常
320,谷歌 Pixel XL,4G+32G,无维修情况,经常使用，显示正常细微色差,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常
160,谷歌 Pixel XL,4G+32G,无维修情况,显示异常，有局部花屏/老化,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常
25,谷歌 Pixel XL,4G+32G,无维修情况,屏幕无法正常显示,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常
160,谷歌 Pixel XL,4G+32G,屏幕维修（屏幕拆开或维修）,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常
140,谷歌 Pixel XL,4G+32G,主板维修（主板拆修或故障）,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常
80,谷歌 Pixel XL,4G+32G,屏幕和主板均有维修,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常
160,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常,触摸失灵/延迟
140,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常,机身进水或受潮
180,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常,机身弯曲
245,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常,更换过电池/摄像头/外壳/尾插
140,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常,通话功能不正常
180,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常,指纹无法完全录入和解锁
180,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常,拍摄模糊/抖动/有斑
140,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常,无线无法打开/无法连接
245,谷歌 Pixel XL,4G+32G,无维修情况,很少使用，显示完美几乎全新,经常使用，完好有轻微划痕,经常使用，完好有轻微划痕,正常开机进入桌面,充电正常,账号可退出,振动正常,光线/距离感应不正常
